Created as New Dataset,Sample 059 By ir Date Thursday, May 07 2015
cm-1,A
5436.50,-0.0035
5436.38,-0.0034
5436.25,-0.0032
5436.13,-0.0034
5436.00,-0.0039
5435.88,-0.0042
5435.75,-0.0042
5435.63,-0.0044
5435.50,-0.0047
5435.38,-0.0048
5435.25,-0.0045
5435.13,-0.0043
5435.00,-0.0044
5434.88,-0.0046
5434.75,-0.0045
5434.63,-0.0045
5434.50,-0.0045
5434.38,-0.0045
5434.25,-0.0042
5434.13,-0.0039
5434.00,-0.0038
5433.88,-0.0040
5433.75,-0.0042
5433.63,-0.0043
5433.50,-0.0043
5433.38,-0.0042
5433.25,-0.0040
5433.13,-0.0038
5433.00,-0.0038
5432.88,-0.0039
5432.75,-0.0041
5432.63,-0.0041
5432.50,-0.0040
5432.38,-0.0040
5432.25,-0.0040
5432.13,-0.0041
5432.00,-0.0042
5431.88,-0.0044
5431.75,-0.0044
5431.63,-0.0043
5431.50,-0.0042
5431.38,-0.0042
5431.25,-0.0041
5431.13,-0.0040
5431.00,-0.0040
5430.88,-0.0042
5430.75,-0.0042
5430.63,-0.0039
5430.50,-0.0035
5430.38,-0.0035
5430.25,-0.0039
5430.13,-0.0044
5430.00,-0.0045
5429.88,-0.0042
5429.75,-0.0040
5429.63,-0.0041
5429.50,-0.0044
5429.38,-0.0047
5429.25,-0.0050
5429.13,-0.0050
5429.00,-0.0047
5428.88,-0.0042
5428.75,-0.0039
5428.63,-0.0041
5428.50,-0.0045
5428.38,-0.0046
5428.25,-0.0044
5428.13,-0.0045
5428.00,-0.0048
5427.88,-0.0047
5427.75,-0.0042
5427.63,-0.0039
5427.50,-0.0040
5427.38,-0.0040
5427.25,-0.0038
5427.13,-0.0036
5427.00,-0.0038
5426.88,-0.0041
5426.75,-0.0042
5426.63,-0.0041
5426.50,-0.0042
5426.38,-0.0044
5426.25,-0.0047
5426.13,-0.0049
5426.00,-0.0050
5425.88,-0.0047
5425.75,-0.0044
5425.63,-0.0041
5425.50,-0.0040
5425.38,-0.0038
5425.25,-0.0037
5425.13,-0.0039
5425.00,-0.0042
5424.88,-0.0042
5424.75,-0.0041
5424.63,-0.0041
5424.50,-0.0043
5424.38,-0.0043
5424.25,-0.0039
5424.13,-0.0039
5424.00,-0.0043
5423.88,-0.0046
5423.75,-0.0044
5423.63,-0.0040
5423.50,-0.0039
5423.38,-0.0039
5423.25,-0.0038
5423.13,-0.0035
5423.00,-0.0035
5422.88,-0.0036
5422.75,-0.0036
5422.63,-0.0036
5422.50,-0.0040
5422.38,-0.0044
5422.25,-0.0044
5422.13,-0.0042
5422.00,-0.0043
5421.88,-0.0046
5421.75,-0.0048
5421.63,-0.0045
5421.50,-0.0044
5421.38,-0.0045
5421.25,-0.0045
5421.13,-0.0042
5421.00,-0.0039
5420.88,-0.0041
5420.75,-0.0044
5420.63,-0.0045
5420.50,-0.0043
5420.38,-0.0040
5420.25,-0.0041
5420.13,-0.0042
5420.00,-0.0040
5419.88,-0.0038
5419.75,-0.0036
5419.63,-0.0038
5419.50,-0.0043
5419.38,-0.0044
5419.25,-0.0041
5419.13,-0.0040
5419.00,-0.0042
5418.88,-0.0045
5418.75,-0.0044
5418.63,-0.0040
5418.50,-0.0039
5418.38,-0.0041
5418.25,-0.0040
5418.13,-0.0038
5418.00,-0.0038
5417.88,-0.0042
5417.75,-0.0045
5417.63,-0.0044
5417.50,-0.0042
5417.38,-0.0043
5417.25,-0.0043
5417.13,-0.0041
5417.00,-0.0039
5416.88,-0.0040
5416.75,-0.0043
5416.63,-0.0045
5416.50,-0.0044
5416.38,-0.0041
5416.25,-0.0039
5416.13,-0.0035
5416.00,-0.0032
5415.88,-0.0032
5415.75,-0.0037
5415.63,-0.0043
5415.50,-0.0046
5415.38,-0.0046
5415.25,-0.0046
5415.13,-0.0045
5415.00,-0.0044
5414.88,-0.0041
5414.75,-0.0037
5414.63,-0.0038
5414.50,-0.0043
5414.38,-0.0044
5414.25,-0.0042
5414.13,-0.0039
5414.00,-0.0037
5413.88,-0.0036
5413.75,-0.0035
5413.63,-0.0036
5413.50,-0.0039
5413.38,-0.0043
5413.25,-0.0044
5413.13,-0.0044
5413.00,-0.0042
5412.88,-0.0042
5412.75,-0.0042
5412.63,-0.0042
5412.50,-0.0042
5412.38,-0.0042
5412.25,-0.0040
5412.13,-0.0039
5412.00,-0.0039
5411.88,-0.0040
5411.75,-0.0041
5411.63,-0.0040
5411.50,-0.0040
5411.38,-0.0044
5411.25,-0.0047
5411.13,-0.0047
5411.00,-0.0045
5410.88,-0.0044
5410.75,-0.0046
5410.63,-0.0046
5410.50,-0.0044
5410.38,-0.0040
5410.25,-0.0038
5410.13,-0.0040
5410.00,-0.0044
5409.88,-0.0047
5409.75,-0.0048
5409.63,-0.0047
5409.50,-0.0047
5409.38,-0.0046
5409.25,-0.0044
5409.13,-0.0041
5409.00,-0.0040
5408.88,-0.0041
5408.75,-0.0043
5408.63,-0.0045
5408.50,-0.0046
5408.38,-0.0044
5408.25,-0.0040
5408.13,-0.0037
5408.00,-0.0036
5407.88,-0.0038
5407.75,-0.0038
5407.63,-0.0037
5407.50,-0.0036
5407.38,-0.0038
5407.25,-0.0040
5407.13,-0.0041
5407.00,-0.0042
5406.88,-0.0043
5406.75,-0.0044
5406.63,-0.0044
5406.50,-0.0042
5406.38,-0.0042
5406.25,-0.0043
5406.13,-0.0045
5406.00,-0.0044
5405.88,-0.0041
5405.75,-0.0040
5405.63,-0.0041
5405.50,-0.0043
5405.38,-0.0044
5405.25,-0.0043
5405.13,-0.0040
5405.00,-0.0039
5404.88,-0.0038
5404.75,-0.0036
5404.63,-0.0036
5404.50,-0.0038
5404.38,-0.0042
5404.25,-0.0045
5404.13,-0.0046
5404.00,-0.0044
5403.88,-0.0043
5403.75,-0.0043
5403.63,-0.0044
5403.50,-0.0043
5403.38,-0.0041
5403.25,-0.0040
5403.13,-0.0040
5403.00,-0.0042
5402.88,-0.0042
5402.75,-0.0041
5402.63,-0.0041
5402.50,-0.0043
5402.38,-0.0044
5402.25,-0.0041
5402.13,-0.0040
5402.00,-0.0042
5401.88,-0.0044
5401.75,-0.0041
5401.63,-0.0036
5401.50,-0.0036
5401.38,-0.0041
5401.25,-0.0046
5401.13,-0.0047
5401.00,-0.0046
5400.88,-0.0046
5400.75,-0.0046
5400.63,-0.0044
5400.50,-0.0043
5400.38,-0.0043
5400.25,-0.0043
5400.13,-0.0041
5400.00,-0.0039
5399.88,-0.0040
5399.75,-0.0043
5399.63,-0.0045
5399.50,-0.0046
5399.38,-0.0047
5399.25,-0.0046
5399.13,-0.0042
5399.00,-0.0038
5398.88,-0.0037
5398.75,-0.0040
5398.63,-0.0042
5398.50,-0.0042
5398.38,-0.0043
5398.25,-0.0045
5398.13,-0.0044
5398.00,-0.0042
5397.88,-0.0041
5397.75,-0.0042
5397.63,-0.0041
5397.50,-0.0039
5397.38,-0.0040
5397.25,-0.0042
5397.13,-0.0043
5397.00,-0.0042
5396.88,-0.0044
5396.75,-0.0046
5396.63,-0.0046
5396.50,-0.0042
5396.38,-0.0039
5396.25,-0.0041
5396.13,-0.0042
5396.00,-0.0040
5395.88,-0.0039
5395.75,-0.0041
5395.63,-0.0043
5395.50,-0.0042
5395.38,-0.0038
5395.25,-0.0037
5395.13,-0.0040
5395.00,-0.0041
5394.88,-0.0039
5394.75,-0.0036
5394.63,-0.0037
5394.50,-0.0040
5394.38,-0.0043
5394.25,-0.0045
5394.13,-0.0045
5394.00,-0.0044
5393.88,-0.0043
5393.75,-0.0042
5393.63,-0.0043
5393.50,-0.0043
5393.38,-0.0041
5393.25,-0.0038
5393.13,-0.0037
5393.00,-0.0037
5392.88,-0.0038
5392.75,-0.0037
5392.63,-0.0038
5392.50,-0.0040
5392.38,-0.0040
5392.25,-0.0039
5392.13,-0.0038
5392.00,-0.0039
5391.88,-0.0041
5391.75,-0.0042
5391.63,-0.0041
5391.50,-0.0042
5391.38,-0.0044
5391.25,-0.0045
5391.13,-0.0046
5391.00,-0.0046
5390.88,-0.0043
5390.75,-0.0040
5390.63,-0.0040
5390.50,-0.0042
5390.38,-0.0042
5390.25,-0.0041
5390.13,-0.0039
5390.00,-0.0039
5389.88,-0.0040
5389.75,-0.0039
5389.63,-0.0038
5389.50,-0.0039
5389.38,-0.0043
5389.25,-0.0045
5389.13,-0.0044
5389.00,-0.0043
5388.88,-0.0043
5388.75,-0.0044
5388.63,-0.0042
5388.50,-0.0041
5388.38,-0.0041
5388.25,-0.0043
5388.13,-0.0045
5388.00,-0.0044
5387.88,-0.0042
5387.75,-0.0042
5387.63,-0.0043
5387.50,-0.0043
5387.38,-0.0039
5387.25,-0.0035
5387.13,-0.0035
5387.00,-0.0038
5386.88,-0.0041
5386.75,-0.0042
5386.63,-0.0041
5386.50,-0.0042
5386.38,-0.0041
5386.25,-0.0040
5386.13,-0.0039
5386.00,-0.0043
5385.88,-0.0047
5385.75,-0.0047
5385.63,-0.0044
5385.50,-0.0039
5385.38,-0.0037
5385.25,-0.0038
5385.13,-0.0039
5385.00,-0.0041
5384.88,-0.0043
5384.75,-0.0044
5384.63,-0.0041
5384.50,-0.0037
5384.38,-0.0035
5384.25,-0.0038
5384.13,-0.0043
5384.00,-0.0044
5383.88,-0.0041
5383.75,-0.0038
5383.63,-0.0037
5383.50,-0.0038
5383.38,-0.0039
5383.25,-0.0041
5383.13,-0.0042
5383.00,-0.0040
5382.88,-0.0037
5382.75,-0.0035
5382.63,-0.0038
5382.50,-0.0044
5382.38,-0.0047
5382.25,-0.0046
5382.13,-0.0043
5382.00,-0.0041
5381.88,-0.0041
5381.75,-0.0043
5381.63,-0.0046
5381.50,-0.0050
5381.38,-0.0050
5381.25,-0.0047
5381.13,-0.0045
5381.00,-0.0045
5380.88,-0.0043
5380.75,-0.0041
5380.63,-0.0041
5380.50,-0.0043
5380.38,-0.0044
5380.25,-0.0041
5380.13,-0.0037
5380.00,-0.0038
5379.88,-0.0040
5379.75,-0.0039
5379.63,-0.0037
5379.50,-0.0037
5379.38,-0.0039
5379.25,-0.0039
5379.13,-0.0037
5379.00,-0.0038
5378.88,-0.0043
5378.75,-0.0046
5378.63,-0.0044
5378.50,-0.0040
5378.38,-0.0039
5378.25,-0.0040
5378.13,-0.0040
5378.00,-0.0039
5377.88,-0.0039
5377.75,-0.0040
5377.63,-0.0040
5377.50,-0.0039
5377.38,-0.0038
5377.25,-0.0041
5377.13,-0.0045
5377.00,-0.0047
5376.88,-0.0048
5376.75,-0.0047
5376.63,-0.0042
5376.50,-0.0038
5376.38,-0.0037
5376.25,-0.0039
5376.13,-0.0041
5376.00,-0.0041
5375.88,-0.0040
5375.75,-0.0038
5375.63,-0.0037
5375.50,-0.0037
5375.38,-0.0038
5375.25,-0.0040
5375.13,-0.0041
5375.00,-0.0041
5374.88,-0.0041
5374.75,-0.0041
5374.63,-0.0042
5374.50,-0.0042
5374.38,-0.0042
5374.25,-0.0043
5374.13,-0.0044
5374.00,-0.0045
5373.88,-0.0044
5373.75,-0.0042
5373.63,-0.0041
5373.50,-0.0041
5373.38,-0.0040
5373.25,-0.0039
5373.13,-0.0041
5373.00,-0.0044
5372.88,-0.0046
5372.75,-0.0043
5372.63,-0.0040
5372.50,-0.0040
5372.38,-0.0044
5372.25,-0.0045
5372.13,-0.0042
5372.00,-0.0039
5371.88,-0.0039
5371.75,-0.0040
5371.63,-0.0040
5371.50,-0.0039
5371.38,-0.0040
5371.25,-0.0040
5371.13,-0.0038
5371.00,-0.0037
5370.88,-0.0039
5370.75,-0.0042
5370.63,-0.0043
5370.50,-0.0042
5370.38,-0.0042
5370.25,-0.0042
5370.13,-0.0042
5370.00,-0.0043
5369.88,-0.0044
5369.75,-0.0046
5369.63,-0.0044
5369.50,-0.0040
5369.38,-0.0038
5369.25,-0.0038
5369.13,-0.0038
5369.00,-0.0039
5368.88,-0.0041
5368.75,-0.0043
5368.63,-0.0043
5368.50,-0.0041
5368.38,-0.0040
5368.25,-0.0041
5368.13,-0.0042
5368.00,-0.0042
5367.88,-0.0043
5367.75,-0.0045
5367.63,-0.0046
5367.50,-0.0046
5367.38,-0.0046
5367.25,-0.0045
5367.13,-0.0042
5367.00,-0.0040
5366.88,-0.0040
5366.75,-0.0042
5366.63,-0.0044
5366.50,-0.0045
5366.38,-0.0044
5366.25,-0.0043
5366.13,-0.0041
5366.00,-0.0039
5365.88,-0.0039
5365.75,-0.0042
5365.63,-0.0044
5365.50,-0.0044
5365.38,-0.0043
5365.25,-0.0041
5365.13,-0.0038
5365.00,-0.0038
5364.88,-0.0040
5364.75,-0.0042
5364.63,-0.0041
5364.50,-0.0038
5364.38,-0.0038
5364.25,-0.0041
5364.13,-0.0042
5364.00,-0.0039
5363.88,-0.0037
5363.75,-0.0037
5363.63,-0.0037
5363.50,-0.0037
5363.38,-0.0039
5363.25,-0.0043
5363.13,-0.0046
5363.00,-0.0044
5362.88,-0.0041
5362.75,-0.0040
5362.63,-0.0042
5362.50,-0.0043
5362.38,-0.0042
5362.25,-0.0041
5362.13,-0.0041
5362.00,-0.0042
5361.88,-0.0044
5361.75,-0.0047
5361.63,-0.0049
5361.50,-0.0048
5361.38,-0.0045
5361.25,-0.0042
5361.13,-0.0042
5361.00,-0.0043
5360.88,-0.0043
5360.75,-0.0042
5360.63,-0.0041
5360.50,-0.0040
5360.38,-0.0040
5360.25,-0.0041
5360.13,-0.0042
5360.00,-0.0043
5359.88,-0.0043
5359.75,-0.0043
5359.63,-0.0042
5359.50,-0.0040
5359.38,-0.0039
5359.25,-0.0038
5359.13,-0.0038
5359.00,-0.0040
5358.88,-0.0042
5358.75,-0.0043
5358.63,-0.0042
5358.50,-0.0040
5358.38,-0.0037
5358.25,-0.0037
5358.13,-0.0040
5358.00,-0.0042
5357.88,-0.0042
5357.75,-0.0042
5357.63,-0.0043
5357.50,-0.0043
5357.38,-0.0041
5357.25,-0.0038
5357.13,-0.0037
5357.00,-0.0038
5356.88,-0.0041
5356.75,-0.0041
5356.63,-0.0039
5356.50,-0.0038
5356.38,-0.0039
5356.25,-0.0039
5356.13,-0.0037
5356.00,-0.0036
5355.88,-0.0037
5355.75,-0.0041
5355.63,-0.0044
5355.50,-0.0044
5355.38,-0.0043
5355.25,-0.0045
5355.13,-0.0047
5355.00,-0.0046
5354.88,-0.0042
5354.75,-0.0040
5354.63,-0.0044
5354.50,-0.0048
5354.38,-0.0047
5354.25,-0.0042
5354.13,-0.0040
5354.00,-0.0041
5353.88,-0.0040
5353.75,-0.0037
5353.63,-0.0033
5353.50,-0.0033
5353.38,-0.0037
5353.25,-0.0041
5353.13,-0.0040
5353.00,-0.0038
5352.88,-0.0037
5352.75,-0.0037
5352.63,-0.0037
5352.50,-0.0035
5352.38,-0.0035
5352.25,-0.0037
5352.13,-0.0040
5352.00,-0.0041
5351.88,-0.0040
5351.75,-0.0039
5351.63,-0.0041
5351.50,-0.0045
5351.38,-0.0046
5351.25,-0.0045
5351.13,-0.0045
5351.00,-0.0047
5350.88,-0.0047
5350.75,-0.0043
5350.63,-0.0041
5350.50,-0.0042
5350.38,-0.0044
5350.25,-0.0041
5350.13,-0.0037
5350.00,-0.0038
5349.88,-0.0043
5349.75,-0.0045
5349.63,-0.0041
5349.50,-0.0037
5349.38,-0.0039
5349.25,-0.0043
5349.13,-0.0043
5349.00,-0.0041
5348.88,-0.0042
5348.75,-0.0045
5348.63,-0.0044
5348.50,-0.0041
5348.38,-0.0039
5348.25,-0.0041
5348.13,-0.0044
5348.00,-0.0045
5347.88,-0.0045
5347.75,-0.0044
5347.63,-0.0043
5347.50,-0.0042
5347.38,-0.0041
5347.25,-0.0040
5347.13,-0.0038
5347.00,-0.0035
5346.88,-0.0034
5346.75,-0.0036
5346.63,-0.0038
5346.50,-0.0039
5346.38,-0.0039
5346.25,-0.0040
5346.13,-0.0039
5346.00,-0.0036
5345.88,-0.0036
5345.75,-0.0041
5345.63,-0.0045
5345.50,-0.0042
5345.38,-0.0038
5345.25,-0.0040
5345.13,-0.0046
5345.00,-0.0046
5344.88,-0.0042
5344.75,-0.0040
5344.63,-0.0044
5344.50,-0.0047
5344.38,-0.0044
5344.25,-0.0038
5344.13,-0.0038
5344.00,-0.0042
5343.88,-0.0043
5343.75,-0.0040
5343.63,-0.0039
5343.50,-0.0041
5343.38,-0.0041
5343.25,-0.0039
5343.13,-0.0037
5343.00,-0.0041
5342.88,-0.0046
